ASCVD,atherosclerotic cardiovascular disease,2023/2/15
BID,two times per day,2023/2/15
HDL-c,high-density lipoprotein cholesterol,2023/2/15
HxASCVD,history of atherosclerotic cardiovascular disease,2023/2/15
IR,incidence rate,2023/2/15
IRD,incidence rate difference,2023/2/15
NNH,number needed to harm,2023/2/15
PY,patient-years,2023/2/15
RA,rheumatoid arthritis,2023/2/15
TNFi,tumor necrosis factor inhibitor,2023/2/15
6MWD,6-MInute walk distance,2023/2/16
BNP,Brain natriuretic peptide,2023/2/16
BPA,Balloon pulmonary angioplasty,2023/2/16
CCB,Calcium channel blocker,2023/2/16
CHD,congenital heart disease,2023/2/16
CI,Confidence interval,2023/2/16
CI,cardiac index,2023/2/16
cMRI,Cardiac magnetic resonance imaging,2023/2/16
CO,cardiac output,2023/2/16
CO,Carbon monoxide,2023/2/16
CpcPH,combined post- and pre-capillary pulmonary hypertension,2023/2/16
CpcPH,Combined post-capillary and pre-capillary pulmonary hypertension,2023/2/16
CPET,Cardiopulmonary exercise testing,2023/2/16
CTD,connective tissue disease,2023/2/16
CTEPH,chronic thromboembolic pulmonary hypertension,2023/2/16
DLCO,Diffusing capacity of the lung for carbon monoxide,2023/2/16
DPG,diastolic pressure gradient,2023/2/16
ERA,Endothelin receptor agonists,2023/2/16
ERA,endothelin receptor antagonist,2023/2/16
ERS,European Respiratory Society,2023/2/16
FC,functional class,2023/2/16
HIV,human immunodeficiency virus,2023/2/16
I/H/D-PAH,Idiopathic heritable or drug-associated pulmonary arterial hypertension,2023/2/16
IPAH,Idiopathic PAH,2023/2/16
iPAH,idiopathic pulmonary arterial hypertension,2023/2/16
IpcPH,isolated post-capillary pulmonary hypertension,2023/2/16
LHD,Left heart disease,2023/2/16
mPAP,mean pulmonary arterial pressure,2023/2/16
NA,not available,2023/2/16
PAH,pulmonary arterial hypertension,2023/2/16
PAH-CTD,Pulmonary arterial hypertension associated with connective tissue disease,2023/2/16
PAP,Pulmonary arterial pressure,2023/2/16
PAWP,pulmonary arterial wedge pressure,2023/2/16
PCA,prostacyclin analogue,2023/2/16
PDE5i,Phosphodiesterase 5 inhibitor,2023/2/16
PDE5i,phosphodiesterasetype 5 inhibitor,2023/2/16
PDE5i,phosphodiesterase type 5 inhibitor,2023/2/16
PEA,Pulmonary endarterectomy,2023/2/16
PH,pulmonary hypertension,2023/2/16
PRA,prostacyclin receptor agonist,2023/2/16
QID,four times daily,2023/2/16
RAP,Right atrial pressure,2023/2/16
RHC,Right heart catheterization,2023/2/16
RV,right ventricular,2023/2/16
RV,right ventricular oxygen consumption,2023/2/16
RVEF,Right ventricular ejection fraction,2023/2/16
RVESVI,Right ventricular end-systolic volume index,2023/2/16
s.c.,subcutaneous,2023/2/16
SGC,soluble guanylyl cyclase,2023/2/16
sPAP,Systolic pulmonary arterial pressure,2023/2/16
SSc,Systemic sclerosis ,2023/2/16
SVI,Stroke volume index,2023/2/16
TID,Three times daily ,2023/2/16
TLC,total lung capacity,2023/2/16
WHO,World Health Organization,2023/2/16
WU,Wood units,2023/2/16
ACE,adverse coronary syndrome,
